,IP,Domain,Location
180.76.15.142,180.76.15.142,baiduspider-180-76-15-142.crawl.baidu.com,China  22  Beijing
180.76.15.151,180.76.15.151,baiduspider-180-76-15-151.crawl.baidu.com,China  22  Beijing
180.76.15.25,180.76.15.25,baiduspider-180-76-15-25.crawl.baidu.com,China  22  Beijing
180.76.15.24,180.76.15.24,baiduspider-180-76-15-24.crawl.baidu.com,China  22  Beijing
180.76.15.156,180.76.15.156,baiduspider-180-76-15-156.crawl.baidu.com,China  22  Beijing
66.249.66.114,66.249.66.114,crawl-66-249-66-114.googlebot.com,United States  CA  Mountain View
66.249.66.110,66.249.66.110,crawl-66-249-66-110.googlebot.com,United States  CA  Mountain View
180.76.15.18,180.76.15.18,baiduspider-180-76-15-18.crawl.baidu.com,China  22  Beijing
180.76.15.146,180.76.15.146,baiduspider-180-76-15-146.crawl.baidu.com,China  22  Beijing
180.76.15.15,180.76.15.15,baiduspider-180-76-15-15.crawl.baidu.com,China  22  Beijing
180.76.15.16,180.76.15.16,baiduspider-180-76-15-16.crawl.baidu.com,China  22  Beijing
202.148.239.6,202.148.239.6,202.148.239.6.superiq.com.au,Australia  02  Sydney
60.242.115.148,60.242.115.148,60-242-115-148.static.tpgi.com.au,Australia  02  Sydney
180.76.15.23,180.76.15.23,baiduspider-180-76-15-23.crawl.baidu.com,China  22  Beijing
180.76.15.12,180.76.15.12,baiduspider-180-76-15-12.crawl.baidu.com,China  22  Beijing
203.87.61.18,203.87.61.18,mail.money101.com.au,Australia  07  Melbourne
103.30.185.168,103.30.185.168,,Australia  02  Sydney
120.151.26.13,120.151.26.13,grafto15.lnk.telstra.net,Australia  02  Sydney
43.231.68.42,43.231.68.42,,Australia  05  Palmer
220.233.219.157,220.233.219.157,157.219.233.220.static.exetel.com.au,Australia  04  Slacks Creek
180.76.15.13,180.76.15.13,baiduspider-180-76-15-13.crawl.baidu.com,China  22  Beijing
180.76.15.140,180.76.15.140,baiduspider-180-76-15-140.crawl.baidu.com,China  22  Beijing
49.197.44.9,49.197.44.9,pa49-197-44-9.pa.qld.optusnet.com.au,Australia  04  Brisbane
180.76.15.34,180.76.15.34,baiduspider-180-76-15-34.crawl.baidu.com,China  22  Beijing
103.25.177.243,103.25.177.243,ias-static-customer.ixs.ph,Philippines
112.199.110.171,112.199.110.171,171.110.199.112.clbrz.inet.eastern-tele.com,Philippines
110.33.232.48,110.33.232.48,d110-33-232-48.bla801.nsw.optusnet.com.au,Australia  02  Minchinbury
120.150.225.60,120.150.225.60,pea1042323.lnk.telstra.net,Australia  02  Dulwich Hill
180.76.15.27,180.76.15.27,baiduspider-180-76-15-27.crawl.baidu.com,China  22  Beijing
14.202.57.235,14.202.57.235,14-202-57-235.tpgi.com.au,Australia  04  Southport
144.139.188.194,144.139.188.194,nor1991244.lnk.telstra.net,Australia
203.45.18.16,203.45.18.16,mail.dbfs.com.au,Australia  02  Hamilton
180.76.15.5,180.76.15.5,baiduspider-180-76-15-5.crawl.baidu.com,China  22  Beijing
180.76.15.148,180.76.15.148,baiduspider-180-76-15-148.crawl.baidu.com,China  22  Beijing
203.213.8.174,203.213.8.174,203-213-8-174.static.tpgi.com.au,Australia  08  Malaga
180.76.15.162,180.76.15.162,baiduspider-180-76-15-162.crawl.baidu.com,China  22  Beijing
180.76.15.152,180.76.15.152,baiduspider-180-76-15-152.crawl.baidu.com,China  22  Beijing
49.255.225.122,49.255.225.122,classsuper.bdr01.syd01.nsw.VOCUS.net.au,Australia
58.162.197.81,58.162.197.81,cpe-58-162-197-81.static.vic.asp.telstra.net,Australia  07  Werribee
103.25.177.242,103.25.177.242,ias-static-customer.ixs.ph,Philippines
112.199.58.106,112.199.58.106,106.58.199.112.dsl.static.eastern-tele.com,Philippines
180.76.15.159,180.76.15.159,baiduspider-180-76-15-159.crawl.baidu.com,China  22  Beijing
180.76.15.14,180.76.15.14,baiduspider-180-76-15-14.crawl.baidu.com,China  22  Beijing
58.6.35.77,58.6.35.77,dsl-58-6-35-77.nsw.westnet.com.au,Australia  02  Sydney
180.76.15.29,180.76.15.29,baiduspider-180-76-15-29.crawl.baidu.com,China  22  Beijing
101.187.245.78,101.187.245.78,nat1718574.lnk.telstra.net,Australia  05  Flagstaff Hill
59.100.4.133,59.100.4.133,59-100-4-133.syd.static-ipl.aapt.com.au,Australia  02  Balmain
220.233.218.219,220.233.218.219,219.218.233.220.static.exetel.com.au,Australia  07  Melbourne
203.213.78.166,203.213.78.166,203-213-78-166.static.tpgi.com.au,Australia  02  Sydney
180.76.15.158,180.76.15.158,baiduspider-180-76-15-158.crawl.baidu.com,China  22  Beijing
180.76.15.141,180.76.15.141,baiduspider-180-76-15-141.crawl.baidu.com,China  22  Beijing
180.76.15.160,180.76.15.160,baiduspider-180-76-15-160.crawl.baidu.com,China  22  Beijing
220.225.196.197,220.225.196.197,,India  16  Mumbai
101.176.133.77,101.176.133.77,cpe-101-176-133-77.nb01.dyn.asp.telstra.net,Australia  02  Woonona
110.20.169.93,110.20.169.93,c110-20-169-93.rivrw10.nsw.optusnet.com.au,Australia  02  Croydon
180.76.15.139,180.76.15.139,baiduspider-180-76-15-139.crawl.baidu.com,China  22  Beijing
180.76.15.134,180.76.15.134,baiduspider-180-76-15-134.crawl.baidu.com,China  22  Beijing
180.76.15.6,180.76.15.6,baiduspider-180-76-15-6.crawl.baidu.com,China  22  Beijing
180.191.143.19,180.191.143.19,,Philippines  D9  Mandaluyong City
180.76.15.20,180.76.15.20,baiduspider-180-76-15-20.crawl.baidu.com,China  22  Beijing
27.99.38.80,27.99.38.80,,Australia  02  Sydney
180.76.15.144,180.76.15.144,baiduspider-180-76-15-144.crawl.baidu.com,China  22  Beijing
14.195.250.131,14.195.250.131,static-131.250.195.14-tataidc.co.in,India  07  Delhi
180.76.15.153,180.76.15.153,baiduspider-180-76-15-153.crawl.baidu.com,China  22  Beijing
216.171.97.253,216.171.97.253,,Canada  ON  Guelph
220.245.236.250,220.245.236.250,220-245-236-250.static.tpgi.com.au,Australia  04  Yeerongpilly
110.143.5.144,110.143.5.144,salmon16.lnk.telstra.net,Australia  02  Sydney
220.233.144.159,220.233.144.159,159.144.233.220.static.exetel.com.au,Australia  02  Sydney
59.100.236.106,59.100.236.106,59-100-236-106.syd.static-ipl.aapt.com.au,Australia  02  Sydney
180.76.15.143,180.76.15.143,baiduspider-180-76-15-143.crawl.baidu.com,China  22  Beijing
210.213.237.250,210.213.237.250,210.213.237.250.static.pldt.net,Philippines
27.32.116.112,27.32.116.112,27-32-116-112.static.tpgi.com.au,Australia  02  Paddington
203.191.202.246,203.191.202.246,mail.wlm.com.au,Australia  02  Pennant Hills
150.101.214.158,150.101.214.158,mail.greentaylor.com.au,Australia  07  Prahran
120.151.187.27,120.151.187.27,rec2002210.lnk.telstra.net,Australia  04  Acacia Ridge
58.96.50.120,58.96.50.120,120.50.96.58.static.exetel.com.au,Australia  04  Hawthorne
82.80.249.166,82.80.249.166,bzq-82-80-249-166.dcenter.bezeqint.net,Israel
180.76.15.22,180.76.15.22,baiduspider-180-76-15-22.crawl.baidu.com,China  22  Beijing
123.200.139.186,123.200.139.186,fwgha.itoncloud.com,Australia  02  Surry Hills
103.12.8.2,103.12.8.2,rcmel1.webguard.com.au,Australia  02  Auburn
180.76.15.135,180.76.15.135,baiduspider-180-76-15-135.crawl.baidu.com,China  22  Beijing
180.76.15.17,180.76.15.17,baiduspider-180-76-15-17.crawl.baidu.com,China  22  Beijing
